2026-03-02 16:17:26,824 - DEBUG - URL: https://restful-booker.herokuapp.com/auth | Status: 200 | Body: {"token":"53caf78dd9ce091"}
2026-03-02 16:17:48,418 - DEBUG - URL: https://restful-booker.herokuapp.com/auth | Status: 200 | Body: {"token":"843ce25590d11b3"}
2026-03-02 16:17:49,925 - DEBUG - URL: https://restful-booker.herokuapp.com/booking/3430 | Status: 201 | Body: Created
2026-03-02 16:17:51,204 - DEBUG - URL: https://restful-booker.herokuapp.com/booking/3430 | Status: 404 | Body: Not Found
2026-03-02 16:17:52,823 - DEBUG - URL: https://restful-booker.herokuapp.com/booking | Status: 200 | Body: {"bookingid":3481,"booking":{"firstname":"Eve","lastname":"Miller","totalprice":110,"depositpaid":true,"bookingdates":{"checkin":"2024-01-01","checkout":"2024-01-05"},"additionalneeds":"Breakfast"}}
2026-03-02 16:17:54,269 - DEBUG - URL: https://restful-booker.herokuapp.com/booking/3481 | Status: 403 | Body: Forbidden
2026-03-02 16:17:55,482 - DEBUG - URL: https://restful-booker.herokuapp.com/booking | Status: 200 | Body: {"bookingid":3510,"booking":{"firstname":"Frank","lastname":"Taylor","totalprice":160,"depositpaid":false,"bookingdates":{"checkin":"2024-01-01","checkout":"2024-01-05"},"additionalneeds":"Breakfast"}}
2026-03-02 16:17:59,319 - DEBUG - URL: https://restful-booker.herokuapp.com/booking/3510 | Status: 403 | Body: Forbidden
2026-03-02 16:18:00,608 - DEBUG - URL: https://restful-booker.herokuapp.com/booking | Status: 500 | Body: Internal Server Error
2026-03-02 16:18:01,944 - DEBUG - URL: https://restful-booker.herokuapp.com/booking | Status: 200 | Body: {"bookingid":3565,"booking":{"firstname":"John","lastname":"Doe","totalprice":100,"depositpaid":true,"bookingdates":{"checkin":"2024-01-01","checkout":"2024-01-05"},"additionalneeds":"Breakfast"}}
2026-03-02 16:18:03,273 - DEBUG - URL: https://restful-booker.herokuapp.com/booking/3565 | Status: 200 | Body: {"firstname":"John","lastname":"Doe","totalprice":100,"depositpaid":true,"bookingdates":{"checkin":"2024-01-01","checkout":"2024-01-05"},"additionalneeds":"Breakfast"}
2026-03-02 16:18:04,467 - DEBUG - URL: https://restful-booker.herokuapp.com/auth | Status: 200 | Body: {"token":"602bda72807d903"}
2026-03-02 16:18:05,994 - DEBUG - URL: https://restful-booker.herokuapp.com/booking/3565 | Status: 201 | Body: Created
2026-03-02 16:18:07,357 - DEBUG - URL: https://restful-booker.herokuapp.com/booking | Status: 200 | Body: {"bookingid":3610,"booking":{"firstname":"John","lastname":"Doe","totalprice":100,"depositpaid":true,"bookingdates":{"checkin":"2024-01-01","checkout":"2024-01-05"},"additionalneeds":"Breakfast"}}
2026-03-02 16:18:08,984 - DEBUG - URL: https://restful-booker.herokuapp.com/booking/3610 | Status: 200 | Body: {"firstname":"John","lastname":"Doe","totalprice":100,"depositpaid":true,"bookingdates":{"checkin":"2024-01-01","checkout":"2024-01-05"},"additionalneeds":"Breakfast"}
2026-03-02 16:18:10,294 - DEBUG - URL: https://restful-booker.herokuapp.com/booking | Status: 200 | Body: {"bookingid":3635,"booking":{"firstname":"TestUser","lastname":"Lifecycle","totalprice":250,"depositpaid":true,"bookingdates":{"checkin":"2024-05-01","checkout":"2024-05-10"},"additionalneeds":"WiFi"}}
2026-03-02 16:18:11,582 - DEBUG - URL: https://restful-booker.herokuapp.com/booking/3635 | Status: 200 | Body: {"firstname":"TestUser","lastname":"Lifecycle","totalprice":250,"depositpaid":true,"bookingdates":{"checkin":"2024-05-01","checkout":"2024-05-10"},"additionalneeds":"WiFi"}
2026-03-02 16:18:13,474 - DEBUG - URL: https://restful-booker.herokuapp.com/auth | Status: 200 | Body: {"token":"d736ab04989d6d0"}
2026-03-02 16:18:14,752 - DEBUG - URL: https://restful-booker.herokuapp.com/booking/3635 | Status: 200 | Body: {"firstname":"UpdatedUser","lastname":"UpdatedLifecycle","totalprice":300,"depositpaid":false,"bookingdates":{"checkin":"2024-06-01","checkout":"2024-06-10"},"additionalneeds":"WiFi + Parking"}
2026-03-02 16:18:16,068 - DEBUG - URL: https://restful-booker.herokuapp.com/booking/3635 | Status: 200 | Body: {"firstname":"FinalUser","lastname":"UpdatedLifecycle","totalprice":350,"depositpaid":false,"bookingdates":{"checkin":"2024-06-01","checkout":"2024-06-10"},"additionalneeds":"WiFi + Parking"}
2026-03-02 16:18:18,410 - DEBUG - URL: https://restful-booker.herokuapp.com/booking/3635 | Status: 201 | Body: Created
2026-03-02 16:18:19,684 - DEBUG - URL: https://restful-booker.herokuapp.com/booking/3635 | Status: 404 | Body: Not Found
